Book, Chapter, Verse, Text
"1TH","1","1","ए पत्री पौलुस ते सिलवानुस ते तीमुथियुस थमां थिस्सलुनीकियों शैर दी कलीसिया दे नां ऐ, जेड़े परमेसर पिता ते प्रभु यीशु मसीह च न; क्रपा दे शान्ति तुसेंगी मिलदी रवै।"
"1TH","1","2","अस अपनी प्रार्थना च तुसेंगी याद करनयां ते मेशा थूआड़े सारे दे बारै च परमेसर दा शुक्र करनयां न,"
"1TH","1","3","ते अपने परमेसर ते पिता दे सामने थूआड़े विश्वास दे कम, ते प्यार दी मेनत, ते साड़े प्रभु यीशु मसीह च आस दी स्बर गी लगातार याद करनयां न।"
"1TH","1","4","ए मसीह प्राओ, परमेसर दे प्यारे लोको, अस जानयां के तोस परमेसर थमां ओसदे लोक ओनें आसतै चुने दे ओ।"
"1TH","1","5","किके साड़ा शोभ समाचार जेड़ा यीशु मसीह दे बारै च ऐ थूआड़े कोल सेर्फ बचन च गै नेई बरना पवित्र आत्मा दी शक्ति च, ते मते पक्के विश्वास कन्नें पुज्जे दा ऐ; जियां तोस जांनदे ओ, के अस थूआड़े आसतै थूआड़े च कदें जिए बनी गेदे हे।"
"1TH","1","6","तोस मते कलेश च, पवित्र आत्मा दी खुशी कन्नें बचन गी मनियै साड़े ते प्रभु जेई चाल चलना लगे।"
"1TH","1","7","इत्थें तकर के मकिदुनिया अते अखाया लाकें दे सारे वश्वासीयें आसतै तोस नमूना बने।"
"1TH","1","8","किके थूआड़े इथुंआं दा नां सेर्फ मकिदुनिया ते अखाया लाकें च प्रभु दा बचन सनाया गिया, लेकन थूआड़े विश्वास दा जेड़ा परमेसर उपर ऐ, अर जगा ऐसी चर्चा फैली गेदी ऐ, के असें आखन दी लोड़ गै नेई।"
"1TH","1","9","किके ओ अप्पुं गै साड़े बारै च सनांदे न के थूआड़े कोल साडा औना कियां उआ; ते तोस कियां मुर्तियें थमां पासे ओईयै परमेसर दी बखी फिरे तां जे जिन्दे ते सच्चे परमेसर दी सेवा करो,"
"1TH","1","10","ते ओस दे पुत्र दे सोर्ग थमां बापस आैने दा एन्तज़ार करदे रवो जिसी परमेसर ने मरें दे बिचा ज़िंदा कित्ता, मतलब यीशु गी, जेड़ा असेंगी आैने आले प्रकोप थमां बचांदा ऐ।"
"1TH","2","1","ए विश्वासी प्राओ, तोस अप्पुं गै जानदे ओ के साड़ा थूआड़े कोल औना बे अर्थ नेई ओया,"
"1TH","2","2","बरना तोस अप्पुं गै जांनदे ओ, के पैलें फिलिप्पी शैर च दोख चेलने ते बे ईजती सैने उपर बी साड़े परमेसर ने असेंगी ऐसी इम्त दीती, के अस परमेसर दा शोभ समाचार बड़ा बरोध ओदे ओई बी तुसेंगी सनाचै।"
"1TH","2","3","किके साड़ी शिखया नां पलेखे कन्नें ऐ नां अशोद्ध सोच, ते नां तोखे कन्नें ऐ;"
"1TH","2","4","लेकन जियां परमेसर ने असेंगी काबल समझीयै शोभ समाचार सोंपया, अस उयां गै सुनानयां न,ते एस च मनुक्खें गी नेई, लेकन परमेसर गी, जेड़ा साड़े मनें गी जाचदा ऐ, खोश करनयां न।"
"1TH","2","5","किके तोस जानदे ओ, के असें नां ते कदें अपनी सिफ्तें दियां गल्लां करदे न, ते नां लालच आसतै बाना करदे हे, परमेसर गवाह ऐ के अस उवै जे नेई ऐंन;"
"1TH","2","6","आलां के मसीह दे प्रेरित ओनें दे कारन थूआड़े कोला मदद लेने लेई असेंगी अक्क हा, तां बी अस मनुक्खें थमां आदर नेई चांदे हे, ते नां थूआड़े थमां, नां ओर कुसे थमां।"
"1TH","2","7","लेकन जियां मा अपने बच्चें दा पालन-पोषण करदी ऐ, उयां गै असें थूआड़े बेच रेईयै नरमी बरती ऐ;"
"1TH","2","8","ते उयां गै अस थूआडे छा इच्छया करदे ओई, सेर्फ परमेसर दे शोभ समाचार, पर अपना-अपना प्राण बी थूआडे आसतै देने गी त्यार हे, इसै आसतै के तोस साड़े प्यारे ओई गेदे हे।"
"1TH","2","9","किके, ए प्राओ, तोस साड़ी मैंनत ते दोख गी याद रखदे ओ; असें इसै आसतै रात देन कम तंधा करदे ओई थूआड़े बेच परमेसर दे शोभ समाचार दा परचार कित्ता, के थूआड़े बेच अस कुसे उपर बोझ नेई पाचै।"
"1TH","2","10","तोस अप्पुं गै गवाह ओ, ते परमेसर बी गवाह ऐ, के थूआडे वश्वासियें दै बेच साडा सलूक कियां पवित्र ते तर्मी ते बेकसुर रिया"
"1TH","2","11","जियां तोस जानदे ओ, के जियां पिता अपने बच्चें कन्नें सलूक करदा ऐ, उयां गै अस बी थूआड़े च अर एक गी सखांदे, ते औसला दिन्दे, ते समझांदे हे।"
"1TH","2","12","के थूआड़ा चाल-चलन परमेसर गी आदर देने दे जोग उवै, जेड़ा तुसेंगी परमेसर दे राज ते मैमा च बलांदा ऐ"
"1TH","2","13","एस लेई अस बी लगातार परमेसर दा शुकर करनयां न, के जेस ले साडे थमां परमेसर दे शोभ समाचार दा बचन थूआडे कोल पुजया, तां तुसें उसी मनुक्खें दा नेई लेकन परमेसर दा बचन समझियै ग्रेण कित्ता; ते ओ थूआड़े च जेडे मसीह पर विश्वास करदे ओ, कम करदा ऐ।"
"1TH","2","14","एस करी तोस, ए प्राओ, परमेसर दी उनें कलीसिया आला लेखा चाल चलन लगे, जेडे यहूदीया च मसीह यीशु च न, किके तुसें बी अपने लोकें थमां उवै जेया दोख चलया,जियां उनें दे रौने आलें कोला चलया हा।"
"1TH","2","15","जिनें प्रभु यीशु गी ते पविखवक्तें गी बी मारी दीता ते असेंगी सताया, ते परमेसर उन्दे उपर खोश नेई, ते ओ सारे मनुक्खें दा बरोध करदे न,"
"1TH","2","16","ते ओ दुई जातीयें गी मुक्ति पाने आसतै साड़े प्रचार दे कम गी रोकदे न, के मेशा पाप दे उपर पाप करदे रे, पर उन्दे उपर परमेसर दा बड़ा बड्डा क्रोध आई पुज्जे दा ऐ।"
"1TH","2","17","ए प्राओ, जेस लै अस थूडे चेर आसतै मन कोला नेई बरन प्रकट च, थूआड़े थमां लग ओई गेदे हे, तां असें बड़ी इच्छया दै कन्नें तुसेंगी दिखने लेई ओर बी मती कोष्ट कित्ती।"
"1TH","2","18","एस करी (मतलब मै पौलुस ने) एक बार नेई बरन बड़ी बार थूआड़े कोल औना चाया, लेकन शतान ने असेंगी रोकी रखा हा।"
"1TH","2","19","पला साड़ी आस, जां ख़ुशी जां बडयाई दा मोकट कोन ऐ? के साडे प्रभु यीशु दे सामने ओदे वापस आैने दे बेलै, के ओ तोस गै नेई ऐन?"
"1TH","2","20","साड़ी बड़याई ते खुशी तोस गै न।"
"1TH","3","1","एस आसतै जेस लै साडे थमां ओर जादै बर्दाश नेई ओई सकया, तां असें ए सोचया के एथेन्स शैर च कले गै रेई पौचै।"
"1TH","3","2","ते असें तीमुथियुस गी, जेड़ा मसीह दे शोभ समाचार परचार करने च साड़ा प्रा, ते परमेसर दा सेवक ऐ, एस आसतै थूआडे कोल पेजया के ओ तुसेंगी विश्वास च मजबूत करै; ते थूआड़े विश्वास दे बारै च तुसेंगी औसला दै,"
"1TH","3","3","के कोई इन्नें कलेशें दै कारन डामा डोल नेई ओई जा। किके तोस अप्पुं गै जानदे ओ, के अस ए दोख सैने आसतै गै चुनें गेदे न।"
"1TH","3","4","किके पैलें बी, जेस लै अस थूआड़े इत्थें हे, तां थूआड़े कन्नें अखदे रौंदे हे, के असें विश्वास दी खातर दोख चेलने पौने न, ते ऐसा गै ओया ऐ, जियां के तोस जानदे बी ओ।"
"1TH","3","5","एस कारन जेस लै आऊँ एदे कोला जादै सैन नेई करी सकया, तां थूआड़े विश्वास दा आल जानने आसतै तीमुथियुस गी पेजया, के कुते ऐसा नेई उवै, के परख करने आले शतान ने थूआड़ी परख कित्ती उवै, ते साड़ी मैंनत बेकार ओई गेई उवै।"
"1TH","3","6","लेकन ऊन तीमुथियुस ने, जेड़ा थूआड़े कन्नें साडे इत्थें आईयै थूआड़े विश्वास ते प्यार दा शोभ समाचार सनाया, ते एस गल्ल गी बी सनाया, के तोस मेशा प्यार दे कन्नें असेंगी याद करदे ओ, ते असेंगी दिखने दी इच्छया करदे ओ, जियां अस बी तुसेंगी दिखने दी।"
"1TH","3","7","एस आसतै ए प्राओ, अस अपने सारे दोख ते कलेश बेच थूआड़े विश्वास थमां थूआड़े बारै च तीमुथियुस कोला सुनीयै के तोस विश्वास च मजबूत ओ, ते असेंगी शान्ति मिली।"
"1TH","3","8","किके ऊन जेकर तोस प्रभु च टिके दे रवो तां अस बी जिंदे न।"
"1TH","3","9","ते जे निया खुशी असेंगी थूआड़े कारन अपने परमेसर दे सामने ऐ, ओदे बदलै थूआड़े बारै च अस केस रिती कन्नें परमेसर दा शुकर करचै?"
"1TH","3","10","अस रात देन मती प्रार्थना करदे रौने न, के थूआडे मुंह दिखचै ते थूआडे विश्वास दी कमी घटी गी पुरी करचै।"
"1TH","3","11","ऊन साड़ा परमेसर ते पिता अप्पुं गै ते साड़ा प्रभू यीशु, थूआड़े इत्थें आैने आसतै साड़े आसतै रसता त्यार करै।"
"1TH","3","12","ते प्रभु यीशु ऐसा करै, के जियां अस थूआड़े कन्नें प्यार करनयां न, उयां गै थूआड़ा प्यार बी अप्पुं बिचें ते सारे मनुक्खें कन्नें बददा जा, ते तरक्की करदा जा,"
"1TH","3","13","तां जे प्रभु यीशु थूआड़े मनें गी ऐसा मजबूत करै, के जेस लै साड़ा प्रभु यीशु अपने सारे पवित्र लोकें कन्नें वापस अवै, तां ओ साड़े परमेसर ते पिता दै सामने पवित्र जींदडी च बेकसुर निकलन।"
"1TH","4","1","ए प्राओ, अस थूआड़े कन्नें ए अर्ज करनयां न, ते तुसेंगी प्रभु यीशु च समझानयां न, के जियां तुसें साडे थमां जोग चाल चलना, ते परमेसर गी प्रसन्न करना सिखया ऐ, ते जियां तोस चलदे बी ओ, उयां गै ओर बी बददे जाओ।"
"1TH","4","2","किके तोस जानदे ओ, के असें प्रभु यीशु दे अधिकार थमां तुसेंगी केडे-केडे उक्म पजाए।"
"1TH","4","3","किके परमेसर दी मर्जी ए ऐ, के तोस पवित्र बनो; मतलब ब्यभिचार कोला दूर रबो।"
"1TH","4","4","ते थूआड़े बिचा अर एक अपनी करेआली कन्नें पवित्रता ते आदर च रौना सीखै।"
"1TH","4","5","ते ए कम जिंदु दी इच्छया दै गलाम ओईयै नेई, ते नां दुई जातीयें आला लेखा, जेड़ीयां परमेसर गी नेई जानदियां।"
"1TH","4","6","के एस गल्ल च कोई अपने विश्वासी प्रा गी नेई ठगै, ते ओदे कोला नां जायज फायदा नेई लै, किके प्रभु यीशु इनें सारियें गल्लें दा बदला लेने आला ऐ; जियां के असें पैलें गै थूआड़े कन्नें गलाया, ते मना कित्ता हा।"
"1TH","4","7","किके परमेसर ने असेंगी अशोद्ध ओनें आसतै नेई, लेकन पवित्र जींदडी जीनें आसतै बलाया ऐ।"
"1TH","4","8","एस आसतै जेड़ा इनें गल्लें गी तोच्छ जानदा ऐ, ओ मनुक्खें गी नेई, लेकन परमेसर गी तोच्छ जानदा ऐ, जेड़ा अपना पवित्र आत्मा तुसेंगी दिंदा ऐ।"
"1TH","4","9","पर विश्वासी पाईचारे दे प्रेम दै बारै च ए जरूरी नेई, के आऊँ तुसेंगी केछ लिखां, किके अप्पुं बिचें प्रेम करना तुसें अप्पुं गै परमेसर थमां सिखे दा ऐ;"
"1TH","4","10","ते सारे मकिदुनिया लाके दे सब विश्वासी प्राऐं कन्नें तोस ऐसा प्रेम करदे बी ओ। लेकन ए प्राओ, अस थूआड़े अगें अर्ज करनयां न, के ओर बी एस च बददे जाओ,"
"1TH","4","11","ते जियां असें तुसेंगी उक्म दिता ऐ, उयां गै चोप्प-चाप रौने गी ते अपना-अपना कमकाज करने किदै, ते अपने-अपने हत्थें थमां कमाने दी कोष्ट करो;"
"1TH","4","12","तां जे जेडे विश्वासी नेई ऐन, ओ थूआड़े रौने दे तरीके गी दिखीयै थूआड़ी इज्जत करन, ते तुसें कुसे दै सारै रौने दी नोबत नेई पवै।"
"1TH","4","13","ए विश्वासी प्राओ, अस नेई चांदे, के तोस उन्दे बारै च जेडे मसीही विश्वास च पैलें दे मरी गेदे न, अनजांन रवो; ऐसा नेई उवै, के तोस दुऐं आला लेखा बसोस करो जिनेंगी मरने कोला बाद आस नेई।"
"1TH","4","14","किके जेकर अस विश्वास करनयां न, के यीशु मरया, ते ज़िंदा बी ओई गिया, तां उयां गै परमेसर उनेंगी बी जेडे यीशु च सेई गेदे न, ओदे कन्नें गै बापस लेई औग।"
"1TH","4","15","किके अस प्रभु यीशु दे वचन दे मताबक थूआड़े कन्नें ए आखनयां न, के अस जेडे जिंदे न, ते प्रभु यीशु दे वापस आैने तकर बचे दे रौगे, तां सुत्ते दें (जेड़े मरी गेदे न) थमां कदें बी अगें नेई बदगे।"
"1TH","4","16","किके प्रभु यीशु अप्पुं गै सोर्ग थमां उतरग; ओस बेलै ओदे उक्म दी ललकार, ते प्रधान दूत दी बाज सनाई देग, ते परमेसर दा नरसिंगा बजाया जाग; ते जेडे मसीह च मरे दे न, ओ पैलें जिंदे ओई जागन।"
"1TH","4","17","ओस बेलै अस जेडे जिंदे ते बचे दे रौगे, उन्दे (जेड़े चुकी लेते गै दे न) कन्नें बदले उपर चुकी लेते जागन, के अवा च प्रभु कन्नें मिलन; ते एस रिती कन्नें अस कन्नें प्रभु कन्नें मेशा रौगे।"
"1TH","4","18","एस चाली ईनें गल्लें थमां एक दुए गी तसल्ली दिन्दे रवा करो।"
"1TH","5","1","लेकन ए विश्वासी प्राओ, एस दी जरूरत नेई, के बेलै ते कालें दे बारै च थूआड़े आसतै केछ लिखया जा।"
"1TH","5","2","किके तोस अप्पुं ठीक जानदे ओ के जियां राती चोर औंदा ऐ, उयां गै प्रभु दा दबारा आैने आला ऐ।"
"1TH","5","3","जे लै लोग आखदे ओगन, “ऊन ठीक ठाक ऐ, ते केछ डर नेई,” तां उन्दे उपर यकदम वनाश आई पौग, जेस चाली गर्भवती जनांनी गी गर्भ दी पीड़; ते ओ कुसै आलात कन्नें बी ओस कलेश कोला नेई बचगन।"
"1TH","5","4","लेकन ए विश्वासी प्राओ, तोस तां न्हेरे च नेई ओ, के ओ देन थूआड़े उपर चोरे आला लेखा आई पवै।"
"1TH","5","5","किके तोस सारे लोई दी ते देन दी संतान ओ; अस नां रात दे न, ते नां न्हेरे दे न।"
"1TH","5","6","एस आसतै असें दुए लोकें साईं सुते दे नेई रौना पर साड़े अगें-पीछें के चला करदा ऐ, लेकन बिजे दे ते चकने रवो।"
"1TH","5","7","किके जेडे सोंदे न ओ राती गै सोंदे न, ते जेडे नशे च ओदे न ओ रात गी गै नशे च ओदे न।"
"1TH","5","8","लेकन अस जेडे देन दे न, विश्वास ते प्रेम दी झेलम लाईयै ते उद्धार दे आस दा टोप लाइयै चकने रौचै।"
"1TH","5","9","किके परमेसर ने असेंगी गुस्सै आसतै नेई, लेकन एस आसतै रख्या ऐ के अस अपने प्रभु यीशु मसीह थमां उद्धार आसल करी सकचै।"
"1TH","5","10","यीशु मसीह साडे आसतै एस कारन मरया, के अस चाए बिजे दे चाए सुते दे रौचै, सारे मिलियै उसै दे कन्नें जीचै।"
