MAT,1,1,इधी आसा ईशू मसीहे खांनदानीए बारै। आबराम त दाबेद राज़ैओ पित्तर और राज़अ दाबेद त ईशू मसीहो पित्तर। 
MAT,1,2,आबरामो शोहरू त इसहाक। इसहाको हुअ आजू याकूब। याकूबा का हुअ यहूदा और तेऊए होर भाई। 
MAT,1,3,यहूदा और तामारा का हुऐ आजू फिरिस और ज़ोरह। फिरिसा का हुअ आजू हिरोन। हिरोना का हुअ एराम। 
MAT,1,4,एरामो शोहरू त अमीनादाब। अमीनादाब का हुअ आजू नहशोन। तेऊ का हुअ आजू सलमोन। ( ) 
MAT,1,5,सलमोन और तेऊए लाल़ी राहाबा का हुअ आजू बोअज़। बोअज़ और तेऊए लाल़ी रूता का हुअ ओबेद। (रहाब और रूत नांईं तै यहूदी आथी तिंयां तै होरी ज़ातीए) ओबेदो शोहरू त यिशै। 
MAT,1,6,यिशैओ शोहरू त दाबेद राज़अ। दाबेद राज़ैओ शोहरू हुअ आजू सुलैमान तेसा बेटल़ी का ज़ुंण पैहलै उरियाह सैनापतिए लाल़ी आसा ती। ( ) 
MAT,1,7,सुलैमाना का हुअ रहबाम। तेऊ का हुअ आजू अबियाह। अबियाह का हुअ आजू असाप। 
MAT,1,8,असाप का हुअ आजू यहोशापात और तेऊओ हुअ आजू योराम। तेऊओ हुअ आजू उज़ियाह। 
MAT,1,9,उज़ियाह का हुअ योताम। योतामो हुअ आजू आहाज़ और तेऊओ हुअ आजू हिज़कियाह। 
MAT,1,10,हिज़कियाह का हुअ मनशिह। मनशिह का हुअ आजू आमोन। आमोनो आसा त आजू योशियाह। 
MAT,1,11,बाबेल देशे गुलामीं दी डेऊणैं का पैहलै हुअ योशियाहे पोचै यकुनया और तेऊए होर भाई। (  ) 
MAT,1,12,बाबेल देशे गुलामीं दी डेऊई करै हुअ यकुनया का आजू शालतिएल। शालतिएलो हुअ जरूबाबिल। 
MAT,1,13,जरूबाबिलो हुअ अबिहूद। अबिहूदो हुअ आजू इल्याकिम। इल्याकिमो हुअ अजोर। तेऊओ त आजू सदोक और तेऊओ हुअ आजू अखीम। 
MAT,1,14,अखीमा का हुअ आजू इलीहूद और तेऊओ हुअ आजू इलियाजर। इलियाजरो हुअ आजू मतान। मतान आसा याकूबो बाप्पू। 
MAT,1,15,याकूबा का हुअ युसुफ; ज़ुंण मरिअमो लाल़अ त। मरिअमा का हुअ पबित्र आत्मां करै ईशू ज़ुंण मसीहा आसा। 
MAT,1,16,"आबरामा का दाबेद राज़ै तैणीं हुई पठी च़ौदा पोस्ती, ता दाबेद राज़ै का बाबेल देशे गुलाम हणैं तैणीं बी हुई च़ौदा पोस्ती और तिधा का मसीहा तैणीं बी हुई च़ौदा पोस्ती। "
MAT,1,17,"ज़धू ईशू मसीहो ज़ल्म हुअ, सह हुअ इहअ करै कि ज़ांऊं तेऊए आम्मां मरिअम कुंआरी आसा ती ता तेसे बरनीं लाई युसुफा संघै। ता तिन्नें कठा सुत्तणैं का पैहलै हुई मरिअम पबित्र आत्मां करै पैरभारी। "
MAT,1,18,तेसो लाल़अ युसुफ त धर्मीं मणछ। सह निं च़ाहंदअ त तेसा बदनाम करनअ और तेऊ किअ च़ुप-च़ुपै तेसा छ़ाडणेंओ बच़ार। 
MAT,1,19,"ज़ांऊं सह इना गल्ला सोठदअ त लागअ द, ता परमेशरो एक स्वर्ग दूत शुझुअ तेऊ का सुपनै और तेऊ स्वर्ग दूतै बोलअ युसुफा लै इहअ, “राज़ै दाबेदे लुआद युसुफा, तूह निं मरिअमा संघै बैहा करनै का निं डरी। किल्हैकि ज़ुंण तेसे गर्भा दी आसा, सह आसा पबित्र आत्मां करै तेसा भितरी। "
MAT,1,20,"तेसो हणअ एक शोहरू और तूह डाहै तेऊ नांअ ‘ईशू’, तेऊ दैणअ आपणैं लोगा लै तिन्नें पापा का बच़ाऊई करै उद्धार।” (  ) "
MAT,1,21,"इहअ हुअ तै, कि ज़ुंण बैण परमेशरे गूरै याशायाह बोलअ त सह हणअ त पूरअ, "
MAT,1,22,"“हेरा, एक कुंआरी हणीं पैरभारी, तेसा दैणअ एकी शोहरू लै ज़ल्म और तेऊओ नांअ डाहणअ ‘इम्मानुएल’ तेतो मतलब आसा इहअ कि परमेशर आसा हाम्हां संघै।” "
MAT,1,23,"युसुफ उझ़ुअ निंजा का खल़अ और ज़िहअ प्रभूए स्वर्ग दूतै तेऊ लै सुपनै बोलअ त, तेसा गल्ला मनी करै किअ तेऊ मरिअमा संघै बैह। "
MAT,1,24,"ज़ेभै तैणीं तेसो शोहरू नांईं हुअ, तेभै तैणीं निं तेसा संघै कठा सुत्तअ आथी। तेऊ डाहअ तेऊ शोहरूओ नांअ “ईशू”। "
MAT,2,1,"ज़धू यहूदा लाक्कै बेतलेहम गराऊंऐं ईशूओ ज़ल्म हुअ, ता तिन्नां धैल़ै त तेऊ देशै हेरोदेस राज़ैओ राज़। ता पुर्बा देशा बाखा का आऐ येरुशलेम नगरी लै जोतषी और तिधी पुजी करै लागै तिंयां इहअ पुछ़दै, "
MAT,2,2,“एऊ देशै आसा हुअ द यहूदी लोगे राज़ैओ ज़ल्म; सह किधी ज़िहअ हुअ? हाम्हैं भाल़अ पुर्बा बाखा तेऊओ तारअ और हाम्हैं आसा आऐ दै तेऊ सेटा माथै टेकदै।” ( ) 
MAT,2,3,तिन्नां जोतषी मणछे इना गल्ला शूणीं करै डरै हेरोदेस राज़अ और सारै येरुशलेम नगरीए लोग। 
MAT,2,4,"हेरोदेस राज़ै बी किऐ तेभी सारै प्रधान परोहित, शास्त्री कठा और तिन्नां का पुछ़अ, “थारै शास्त्रे साबै मसीहो ज़ल्म किधी सका हई?” "
